video_source,reader_sleep_seconds,reader_flush_proportion,downscale_factor,dilate_kernel_size,movement_threshold,persist_factor,num_opencv_threads,start_datetime,input_duration_seconds,processing_duration_seconds,input_filesize_MB,output_filesize_MB
data/strawberry/cam_4_N_video_20210317_114802.h264.avi,5,0.9,16,63,40,0.65,10,2022-12-12 12:54:22.291988,600.133333,245.04,1024.980056,54.634368
data/strawberry/cam_1_S_video_20210317_123004.h264.avi,5,0.9,1,63,50,0.75,10,2022-12-12 17:50:15.082144,600.4,630.23,1319.24134,97.345108
data/strawberry/cam_8_N_video_20210310_133844.h264.avi,5,0.9,16,41,50,0.75,10,2022-12-12 23:19:15.161654,600.1,260.05,1013.734438,111.79859
data/strawberry/cam_8_N_video_20210310_133844.h264.avi,5,0.9,1,63,50,0.75,10,2022-12-12 21:49:10.484331,600.1,776.03,1013.734438,292.937914
data/strawberry/cam_4_N_video_20210317_120802.h264.avi,5,0.9,16,41,40,0.65,10,2022-12-12 15:07:03.461699,598.366667,245.09,987.957332,54.133074
data/strawberry/cam_3_N_video_20210317_142705.h264.avi,5,0.9,16,63,50,0.65,10,2022-12-13 06:48:49.470033,598.633333,245.04,942.772768,55.891556
data/strawberry/cam_4_N_video_20210309_132604.h264.avi,5,0.9,16,63,50,0.75,10,2022-12-13 04:54:23.887226,600.066667,245.04,1074.495404,53.577332
data/strawberry/cam_4_N_video_20210309_132604.h264.avi,5,0.9,1,41,40,0.75,10,2022-12-13 04:13:01.364109,600.066667,635.14,1074.495404,119.203946
data/strawberry/cam_2_S_video_20210308_112402.h264.avi,5,0.9,1,41,50,0.75,10,2022-12-12 16:36:17.413486,600.133333,615.09,1296.294376,65.613096
data/strawberry/cam_4_N_video_20210317_120802.h264.avi,5,0.9,1,63,40,0.65,10,2022-12-12 13:26:27.915602,598.366667,640.12,987.957332,106.840876
data/strawberry/cam_1_S_video_20210317_123004.h264.avi,5,0.9,16,41,40,0.65,10,2022-12-12 18:58:07.517567,600.4,240.05,1319.24134,52.511958
data/strawberry/cam_3_N_video_20210317_142705.h264.avi,5,0.9,16,63,40,0.65,10,2022-12-13 06:40:02.740553,598.633333,272.21,942.772768,58.587078
data/strawberry/cam_4_N_video_20210309_132604.h264.avi,5,0.9,16,63,40,0.75,10,2022-12-13 04:46:03.738031,600.066667,255.04,1074.495404,55.02706
data/strawberry/cam_8_N_video_20210310_133844.h264.avi,5,0.9,16,63,50,0.65,10,2022-12-12 22:57:44.752284,600.1,255.04,1013.734438,105.621228
data/strawberry/cam_4_N_video_20210317_120802.h264.avi,5,0.9,1,63,50,0.65,10,2022-12-12 13:48:50.094148,598.366667,591.02,987.957332,81.142848
data/strawberry/cam_7_S_video_20210310_142405.h264.avi,5,0.9,1,41,40,0.75,10,2022-12-13 00:18:50.830603,600.133333,680.08,1320.890072,204.872886
data/strawberry/cam_3_S_video_20210312_123203.h264.avi,5,0.9,16,41,50,0.65,10,2022-12-12 21:00:38.600835,600.0,240.13,1179.422966,52.670408
data/strawberry/cam_4_N_video_20210317_114802.h264.avi,5,0.9,16,41,50,0.75,10,2022-12-12 13:22:27.859827,600.133333,240.05,1024.980056,53.8598
data/strawberry/cam_8_N_video_20210310_133844.h264.avi,5,0.9,16,63,40,0.75,10,2022-12-12 22:53:19.653366,600.1,265.09,1013.734438,135.303524
data/strawberry/cam_1_N_video_20210315_132804.h264.avi,5,0.9,16,41,50,0.75,10,2022-12-13 03:20:28.793146,598.9,265.04,1264.504246,53.815512
data/strawberry/cam_3_N_video_20210317_142705.h264.avi,5,0.9,1,63,40,0.65,10,2022-12-13 05:14:54.338356,598.633333,670.1,942.772768,118.855444
data/strawberry/cam_4_N_video_20210317_114802.h264.avi,5,0.9,1,41,40,0.65,10,2022-12-12 12:12:55.345635,600.133333,615.09,1024.980056,96.674046
data/strawberry/cam_4_N_video_20210317_120802.h264.avi,5,0.9,1,41,50,0.65,10,2022-12-12 14:30:46.710592,598.366667,575.08,987.957332,77.235716
data/strawberry/cam_2_S_video_20210308_112402.h264.avi,5,0.9,16,41,40,0.65,10,2022-12-12 17:02:38.261259,600.133333,240.08,1296.294376,51.747276
data/strawberry/cam_8_N_video_20210310_133844.h264.avi,5,0.9,1,41,50,0.75,10,2022-12-12 22:37:18.073951,600.1,705.32,1013.734438,295.81786
data/strawberry/cam_3_N_video_20210317_142705.h264.avi,5,0.9,16,41,50,0.75,10,2022-12-13 07:09:24.717535,598.633333,245.03,942.772768,56.839052
data/strawberry/cam_4_N_video_20210317_120802.h264.avi,5,0.9,1,63,50,0.75,10,2022-12-12 13:58:41.213337,598.366667,645.21,987.957332,105.39206
